Ticker,Date,Unix,Price,Market Cap,Enterprise Value,Trailing P/E,Forward P/E,PEG Ratio,Price/Sales,Price/Book,Enterprise Value/Revenue,Enterprise Value/EBITDA,Profit Margin,Operating Margin,Return on Assets,Return on Equity,Revenue,Revenue Per Share,Quarterly Revenue Growth,Gross Profit,EBITDA,Diluted EPS,Quarterly Earnings Growth,Total Cash,Total Cash Per Share,Total Debt,Total Debt/Equity,Current Ratio,Book Value Per Share,Operating Cash Flow,Levered Free Cash Flow,Beta,50-Day Moving Average,200-Day Moving Average,Avg Vol (3 month),Shares Outstanding,Float,% Held by Insiders,% Held by Institutions,Short Ratio,Short % of Float,NIFTY50,NIFTY50_p_change,stock_p_change
BRITANNIA,2025-10-12,1760296605,5870.0,1413896863744.0,1414535053312.0,64.498405,72.13961,,7.7442527,32.46071,7.748,44.532,0.12016,0.14604001,,,182573694976.0,758.017,0.088,72016396288.0,31764625408.0,91.01,0.03,12444199936.0,51.664,12465099776.0,28.451,,180.834,,,0.531,5829.01,5404.7646,360288.0,240868296.0,117623215.0,0.51166,0.2485,,,,,
CIPLA,2025-10-12,1760296606,1568.0,1266576654336.0,1160726183936.0,23.51177,24.677368,,4.609149,4.0596414,4.224,16.368,0.19624001,0.22311,,,274796199936.0,340.307,0.032,183264903168.0,70913875968.0,66.69,0.102,106171998208.0,131.441,4394299904.0,1.404,,386.241,,,0.076,1543.926,1496.668,1380455.0,807765695.0,562881438.0,0.30855,0.41403,,,,,
COALINDIA,2025-10-12,1760296606,384.1,2367103959040.0,2092621758464.0,7.1407323,15.104208,,1.8836207,2.3890977,1.665,4.6,0.26378,0.31208,,,1256677572608.0,203.902,-0.039,849126621184.0,454892945408.0,53.79,-0.202,373905686528.0,60.748,91457298432.0,9.15,,160.772,,,0.021,385.609,385.66974,5361841.0,6162728327.0,2533413953.0,0.63137,0.25075,,,,,
DIVISLAB,2025-10-12,1760296607,6489.0,1722625556480.0,1683546308608.0,74.79253,115.25755,,17.847342,11.507952,17.442,54.928,0.23891,0.25601998,,,96520003584.0,363.395,0.138,58240000000.0,30649999360.0,86.76,0.265,35270000640.0,132.859,40000000.0,0.027,,563.871,,,0.175,6058.13,6109.756,430978.0,265468580.0,120774930.0,0.52091,0.28775,,,,,
DRREDDY,2025-10-12,1760296607,1264.0,1052449570816.0,1038101708800.0,18.547321,3.68395,,3.1485956,3.0055377,3.106,11.612,0.16993,0.20497,0.09712,0.17712,334260011008.0,401.356,0.114,192711000064.0,89397002240.0,68.15,0.02,66688000000.0,80.118,48644001792.0,13.751,1.893,420.557,52560998400.0,14228500480.0,0.327,1262.466,1232.8263,1563270.0,832370850.0,591382842.0,0.29258,0.5168,,,,,
EICHERMOT,2025-10-12,1760296608,6974.0,1912814698496.0,1876603961344.0,39.577774,32.147408,,9.868976,8.978101,9.682,42.243,0.24962,0.19928,,,193820999680.0,707.054,0.078,84613496832.0,44423524352.0,176.21,0.094,37530099712.0,136.889,4581300224.0,2.151,,776.779,,,0.202,6446.82,5606.3677,526836.0,274277990.0,134611822.0,0.50428003,0.30321,,,,,
GRASIM,2025-10-12,1760296608,2812.0,1908091256832.0,4147151634432.0,46.74202,120.58319,,1.2391312,1.9567224,2.693,13.944,0.026300002,0.17478001,,,1539862167552.0,2294.867,0.185,888953110528.0,297409675264.0,60.16,0.152,238748696576.0,351.869,1875558006784.0,118.847,,1437.097,,,0.258,2797.646,2646.4417,621591.0,678553102.0,362741029.0,0.47854,0.24811001,,,,,
HCLTECH,2025-10-12,1760296609,1492.8,4044451479552.0,4049327357952.0,23.88098,21.25285,,288.4567,495.94687,288.804,1402.122,0.14229,0.16305,0.13249,0.24607,14021000192.0,5.174,0.054,4867999744.0,2888000000.0,62.51,-0.077,3206000128.0,1.183,765000000.0,9.377,2.264,3.01,2571000064.0,1986625024.0,0.221,1457.934,1588.5892,3202923.0,2709305474.0,1048447032.0,0.61307,0.26647,,,,,
HDFCBANK,2025-10-12,1760296609,981.45,15078663389184.0,19799088300032.0,22.433144,10.185243,,5.511085,2.7701647,7.236,,0.25794,0.29772,0.01733,0.13925,2736060628992.0,179.023,0.011,2736060628992.0,,43.75,-0.022,1425618763776.0,93.08,5996128239616.0,,,354.293,,,0.577,972.824,934.159,17295226.0,15363659145.0,15268497860.0,0.0015,0.56014997,,,,,
HDFCLIFE,2025-10-12,1760296610,748.8,1614829191168.0,1609214984192.0,85.67506,118.85714,,1.6198106,9.483763,1.614,93.751,0.01885,0.02242,0.00301,0.11622,996924719104.0,463.277,0.093,87352197120.0,17164775424.0,8.74,0.14,30487699456.0,14.149,29500000256.0,17.34,1.261,78.956,,,0.623,770.084,717.68726,2616689.0,2155546503.0,953495112.0,0.56058,0.25068,,,,,
HEROMOTOCO,2025-10-12,1760296610,5502.0,1100773326848.0,1036501385216.0,21.842001,19.589539,,2.7219658,5.7101345,2.563,18.079,0.12458,0.124110006,,,404403814400.0,2022.143,-0.047,137522495488.0,57331675136.0,251.9,0.631,71878000640.0,359.371,6999300096.0,3.607,,963.55,,,0.723,5175.492,4321.8276,957461.0,200067860.0,129511017.0,0.37035,0.38188,,,,,
HINDALCO,2025-10-12,1760296611,772.8,1716189528064.0,2135112155136.0,10.157728,11.074398,,0.6984472,1.387094,0.869,6.462,0.068909995,0.09327,,0.14729999,2457149898752.0,1106.423,0.127,795199995904.0,330419994624.0,76.08,0.303,239939993600.0,108.059,656419979264.0,53.056,,557.136,,,0.987,729.436,663.9645,4574771.0,2220742227.0,1395770726.0,0.36817002,0.41564998,,,,,
HINDUNILVR,2025-10-12,1760296611,2526.0,5935537324032.0,5849901170688.0,54.877254,49.160076,,9.284722,12.013812,9.151,41.062,0.16886,0.20327999,,,639280021504.0,272.073,0.051,324099997696.0,142465007616.0,46.03,0.056,110530002944.0,47.042,16480000000.0,3.322,,210.258,,,0.333,2575.01,2399.898,1516965.0,2349591262.0,873484048.0,0.62262,0.19549999,,,,,
ICICIBANK,2025-10-12,1760296612,1380.4,9861945360384.0,10192063299584.0,18.763083,36.383766,,4.7993593,2.9887457,4.96,,0.2574,0.39253,0.02229,0.17884001,2054846152704.0,290.557,0.108,2054846152704.0,,73.57,0.146,1968211755008.0,275.791,2151489732608.0,,,461.866,,,0.407,1406.362,1367.1233,9588496.0,7144266436.0,7110265946.0,0.023710001,0.5464,,,,,
