Date,ADANIENT,ADANIPORTS,APOLLOHOSP,ASIANPAINT,AXISBANK,BAJAJ-AUTO,BAJFINANCE,BAJAJFINSV,BHARTIARTL,BPCL,BRITANNIA,CIPLA,COALINDIA,DIVISLAB,DRREDDY,EICHERMOT,GRASIM,HCLTECH,HDFCBANK,HDFCLIFE,HEROMOTOCO,HINDALCO,HINDUNILVR,ICICIBANK,INDUSINDBK,INFY,ITC,JSWSTEEL,KOTAKBANK,LT,M&M,MARUTI,NESTLEIND,NTPC,ONGC,POWERGRID,RELIANCE,SBILIFE,SBIN,SUNPHARMA,TATACONSUM,TATAMOTORS,TATASTEEL,TCS,TECHM,TITAN,ULTRACEMCO,UPL,WIPRO
2018-08-27,134.1947021484375,363.35321044921875,1168.8397216796875,1320.5775146484375,646.6932983398438,2208.18798828125,287.8772277832031,700.814697265625,330.0259704589844,112.7911148071289,3022.2666015625,625.1153564453125,159.1641387939453,1227.1591796875,466.8900451660156,2721.461181640625,1025.4183349609375,419.6008605957031,488.5076599121094,451.8330383300781,2532.783447265625,218.4316864013672,1603.0721435546875,327.94586181640625,1874.517822265625,591.5158081054688,239.45579528808594,327.970947265625,1268.9119873046875,1218.447265625,914.7924194335938,8661.19140625,516.5133666992188,103.1590576171875,116.87229919433594,75.37860870361328,574.3092041015625,651.1754150390625,284.19671630859375,579.6392211914062,223.9792938232422,254.22271728515625,47.527645111083984,1739.12353515625,577.1323852539062,869.942626953125,4228.533203125,409.824462890625,104.19527435302734
2018-08-28,145.5016632080078,371.3179626464844,1145.3516845703125,1327.841796875,656.490234375,2197.3828125,286.10650634765625,694.9630126953125,327.9804382324219,111.85523223876953,3040.34228515625,614.4061279296875,160.00572204589844,1210.9923095703125,461.4244689941406,2692.905517578125,1019.3805541992188,420.3076171875,491.888916015625,452.4704284667969,2539.8544921875,226.73257446289062,1584.1998291015625,326.9809875488281,1857.514892578125,595.4024658203125,238.1186981201172,337.74737548828125,1279.06396484375,1217.9976806640625,918.5866088867188,8832.349609375,516.18310546875,104.49397277832031,115.90974426269531,75.13091278076172,586.5380249023438,649.055419921875,281.75152587890625,579.0799560546875,220.48330688476562,255.4014892578125,48.2758903503418,1754.6416015625,575.6854248046875,867.40380859375,4283.5322265625,406.4383239746094,104.10722351074219
2018-08-29,141.44764709472656,370.3102722167969,1165.56787109375,1315.105712890625,653.357177734375,2201.22998046875,291.2674255371094,694.6738891601562,326.32659912109375,112.83793640136719,2991.5546875,609.8571166992188,155.44497680664062,1207.0689697265625,455.5670471191406,2646.96875,1022.137939453125,417.1171569824219,488.0497741699219,457.1769714355469,2550.343017578125,224.69293212890625,1570.47021484375,328.66943359375,1830.5213623046875,589.3009643554688,238.9973602294922,367.9989013671875,1282.5477294921875,1214.3590087890625,921.72509765625,8776.28125,514.9615478515625,103.09698486328125,117.50299072265625,73.56844329833984,575.5098876953125,659.9509887695312,285.7653503417969,579.1265869140625,221.6171112060547,257.0714111328125,48.59071731567383,1757.0157470703125,574.3949584960938,862.033203125,4258.66943359375,422.49951171875,104.51224517822266
2018-08-30,141.8910369873047,368.2471923828125,1164.3472900390625,1300.6717529296875,646.2457885742188,2211.503173828125,285.5357666015625,690.8209838867188,333.46417236328125,113.35267639160156,2971.21435546875,615.4959716796875,155.06488037109375,1229.8533935546875,454.8599853515625,2591.885986328125,1021.1870727539062,410.5343017578125,485.13824462890625,457.5691833496094,2532.744140625,227.91839599609375,1585.675537109375,332.2393493652344,1801.798583984375,591.8501586914062,244.3839569091797,366.984375,1272.047119140625,1209.866455078125,920.8819580078125,8624.2333984375,514.3736572265625,105.36320495605469,117.8017349243164,75.0546875,566.7273559570312,654.9223022460938,284.7503662109375,596.5585327148438,222.98716735839844,254.7629852294922,49.747833251953125,1765.8350830078125,572.4007568359375,857.6878662109375,4282.32275390625,432.5338439941406,105.28705596923828
2018-08-31,142.68283081054688,367.6714172363281,1155.0694580078125,1294.7752685546875,645.7484741210938,2246.86572265625,278.69189453125,672.6680297851562,334.1170349121094,115.18170928955078,2991.976806640625,627.5320434570312,155.25491333007812,1244.1925048828125,476.2351379394531,2634.85546875,1020.900146484375,422.6094970703125,483.9875793457031,452.76458740234375,2556.392578125,225.7364501953125,1592.1602783203125,330.5508728027344,1831.5299072265625,602.2562255859375,244.3839569091797,365.5548095703125,1281.2039794921875,1230.5318603515625,904.346435546875,8521.7470703125,527.8568115234375,106.48078918457031,119.52775573730469,76.78862762451172,552.1417846679688,663.0076904296875,285.67303466796875,608.5838623046875,221.3809356689453,262.7688293457031,49.105899810791016,1762.44287109375,598.9130859375,870.919189453125,4329.82470703125,444.4322204589844,106.09709167480469
2018-09-03,133.33958435058594,368.91888427734375,1145.9376220703125,1284.5394287109375,628.392578125,2269.0078125,265.76025390625,663.207763671875,334.0734558105469,114.54551696777344,2916.075927734375,615.164306640625,156.1779327392578,1226.28076171875,495.61328125,2712.427490234375,1019.4180297851562,423.6998596191406,487.23974609375,451.1956787109375,2547.4755859375,227.1120147705078,1519.7119140625,322.3980407714844,1822.307861328125,599.3935546875,239.302978515625,366.154296875,1263.13916015625,1224.646728515625,887.9514770507812,8339.767578125,513.9863891601562,105.23900604248047,117.70215606689453,74.12101745605469,546.5831909179688,657.6339111328125,282.67425537109375,611.7067260742188,223.64859008789062,261.8847351074219,49.12635040283203,1740.8199462890625,583.154296875,891.2786865234375,4231.19287109375,447.7562561035156,108.59764862060547
2018-09-04,133.27621459960938,358.651123046875,1152.0416259765625,1237.0863037109375,638.3385620117188,2239.2529296875,267.93096923828125,648.782958984375,329.32958984375,111.74628448486328,2817.56787109375,610.2361450195312,151.80722045898438,1203.9390869140625,486.0006408691406,2705.042236328125,978.4862670898438,434.6847229003906,481.7804260253906,444.0867919921875,2501.671142578125,223.0327606201172,1476.869384765625,316.9467468261719,1782.5379638671875,616.1311645507812,236.5523681640625,360.48211669921875,1251.6932373046875,1221.3223876953125,872.9149780273438,8308.244140625,494.0838317871094,104.36979675292969,115.74378204345703,74.10198211669922,552.2752075195312,655.5631713867188,273.4931640625,610.914306640625,211.36538696289062,257.3170166015625,48.49667739868164,1779.82666015625,597.427001953125,860.177978515625,4064.40478515625,434.0560607910156,110.35858917236328
2018-09-05,133.62460327148438,363.88104248046875,1109.2161865234375,1246.5206298828125,634.2109985351562,2269.335693359375,265.0626525878906,648.2695922851562,323.8458251953125,111.04647827148438,2746.9296875,612.74755859375,150.72134399414062,1217.658447265625,490.7018127441406,2728.310791015625,983.2201538085938,435.7347106933594,480.38330078125,446.53814697265625,2471.2265625,227.6337890625,1441.5394287109375,318.0562744140625,1781.8175048828125,610.0712890625,237.0489959716797,367.3993835449219,1232.3345947265625,1211.16943359375,870.71337890625,8334.099609375,473.340576171875,104.27665710449219,115.312255859375,74.55926513671875,545.6270751953125,660.0496826171875,273.631591796875,618.7448120117188,210.13705444335938,261.7864990234375,48.60707473754883,1763.1640625,599.186767578125,843.5777587890625,4024.0625,433.2794189453125,112.29563903808594
2018-09-06,161.61325073242188,369.2547302246094,1091.587890625,1240.10498046875,634.7581176757812,2278.17626953125,261.8627014160156,652.6807861328125,324.0634460449219,112.47789764404297,2751.126708984375,627.484619140625,154.0061492919922,1254.76806640625,490.55853271484375,2708.511962890625,985.89794921875,439.712646484375,481.8743591308594,444.96923828125,2486.508544921875,223.3173370361328,1438.766845703125,317.0914611816406,1805.9771728515625,607.7726440429688,237.46923828125,367.81439208984375,1254.977783203125,1210.3604736328125,875.9129028320312,8206.45703125,471.0390319824219,106.38033294677734,115.84333038330078,75.95024871826172,560.9241943359375,669.5647583007812,273.53936767578125,631.46923828125,208.86151123046875,265.1755065917969,49.08954620361328,1759.8143310546875,606.147216796875,846.7513427734375,4018.01611328125,438.0636291503906,113.12327575683594
2018-09-07,155.3441619873047,362.20172119140625,1132.1182861328125,1241.520263671875,642.0684204101562,2393.14501953125,267.7261047363281,657.9442138671875,339.12200927734375,113.54351043701172,2766.515380859375,629.9960327148438,155.58070373535156,1251.433349609375,503.08544921875,2693.304443359375,980.5901489257812,433.7153625488281,482.9896240234375,442.56689453125,2615.749755859375,230.100341796875,1465.733642578125,323.31463623046875,1801.99072265625,612.4953002929688,237.2018280029297,375.0083923339844,1239.1026611328125,1210.72021484375,912.216064453125,8168.375,476.0977783203125,106.78974151611328,114.11729431152344,74.57832336425781,568.5728759765625,666.656005859375,269.1102600097656,619.2108764648438,210.65675354003906,272.4937438964844,50.631004333496094,1763.6729736328125,603.918212890625,847.044189453125,4129.2734375,443.62445068359375,114.35594177246094
